reviewId,userName,userImage,content,score,thumbsUpCount,appVersion,reviewDate,replyContent,repliedAt,appVersion_1
9f871c14-7d44-4f0d-8cbe-9904d42cf3b6,evi puspitasari,https://play-lh.googleusercontent.com/a-/ALV-UjWJOeN8fvdvWSH9kTsGwo0WFWp9O62vxqynmlx--qoYBh_dNAhL,Gak usah pasang tarif tarif hemat; soalnya para driver nya gak ada yang mau ambil orderan; dengan alasan gak sesuai dengan harga; dan bahasa mereka merendahkan costumer; karena pesen yg paket hemat; trs knp di adain paket hemat; yg salah yg punya aplikasi lah; pengen kasih promo tapi para driver nya gak mau.,1,326,5.14.2,2025-03-21 14:44:12,Hai Kak Evi; mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya; silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura,2025-03-21 15:05:01,5.14.2
825e4595-c073-4388-8229-415e372b6c01,Wahyu Pujianti,https://play-lh.googleusercontent.com/a/ACg8ocK1ZgNvaldf6CmvIF_zUT-sNTTNSpgHh26_yGRVuLA5Gv1Hug=mo,tinggal 2menit lg driver sampe di lokasi tiba-tiba dibatalin otomatis sama aplikasinya!!! tau tau udah mencari driver yg baru; dan ini kejadian gak sekali dua kali tapi sering! map jg sering di arahin ke jalan yg sulit di lewati mobil!! alhasil banyak yg batalin! komplain via chat cuma bot doang; Kita yg mo complain gak bisa ketik sendiri masalahnya; mo complain lewat email atau tlp jg gak bisa!!! aplikasi gak niat terima komplain!!!,1,157,5.14.2,2025-03-26 00:35:56,Hai Kak Wahyu; mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika masih berkendala; silakan laporkan ke email customerservice@gojek.com dengan kode psr-25-085-0426-36402 di subject email. Kami tunggu detail laporan kamu ya. ^Melisa,2025-03-26 04:26:47,5.14.2
46c3b900-0136-4fbf-91a0-c3f73d661fac,Harliani,https://play-lh.googleusercontent.com/a/ACg8ocLUruMkKyRaAGoKwYg8V2NwcfxR55levSxjirB4fXbD_O1eig=mo,sebagai pengguna lama baru kali ini saya kecewa sama aplikasi GO-JEK terutama gocar... sebelumnya saya tidak pernah ada masalah walau kadang tidak sesuai harapan dan tetap saya kasih bintang lima dan tip. tp ini sudah pakai prioritas; tetap dicancel driver dgn alasan jauh (pdhl di maps deket); harga ga sesuai (kan bukan saya yg kasih harga jg); driver yg beneran jauh posisinya (pdhl prioritas harusnya yg paling dekat)... akhirnya adu lama2an cancel order... makan waktu... makan ati... hiks...,1,17,5.14.2,2025-04-07 07:25:32,Hai Kak Harliani; mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya; silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik "Driver membatalkan pesanan saya" pada kolom pencarian ya. ^Melisa,2025-04-07 08:59:35,5.14.2
ca02be83-772a-480a-a36c-7363e8176146,Pacar mammon Uwuh,https://play-lh.googleusercontent.com/a-/ALV-UjVj6VI8sfEA6b0Cx-770TL6bWUqhlnWv8bS__aVRsCd0FlMmZY,susah untuk dpt driver walaupun di map ada banyak driver yg gak jalan; sekalinya hujan harga langsung melonjak drastis setiap merefresh; ada pilihan hemat namun harga lebih mahal daripada yg biasa dan percuma tidak akan ada driver yg ambil orderannya;sudah memilih dari yg murah sampai paling mahal namun tetap saja nihil🥴; dulu enak sekarang makin buruk,1,51,5.14.2,2025-04-03 10:14:06,Mohon maaf atas kendalanya; Kak @Pacar mammon Uwuh. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk; atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali; ya. Jika ada pertanyaan lain; silakan kunjungi menu Bantuan pada aplikasi Gojek-mu; ya. ^Miko,2025-04-03 18:05:46,5.14.2
75467b97-9bf1-4064-b00d-2af948feaf25,Telur Gulung,https://play-lh.googleusercontent.com/a-/ALV-UjVKLBh9JGoqk7kP4xNCRmXMxm3mNzFeLDSqWbYd5kz2Fsqwj1_-,Ongkir mahal; pajak aplikasi gede; biaya aplikasi juga gede ; jarang ada voucher gratis ongkir padahal pengguna lama; durasi pesan antar bisa ampai sejam gak bisa dicancel; giliran detik-detik terakhir berharap cancel otomatis malah nyantol driver padahal udah ada opsi lain busuk,1,129,5.14.2,2025-03-19 17:43:10,Mohon maaf atas ketidaknyamanannya; Kak @Telur Gulung. Terkait ulasanmu; kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Miko,2025-03-20 02:17:07,5.14.2
c251b9d6-f2ae-4058-81f7-a75eb3722b5f,Ayu Ningtiqs,https://play-lh.googleusercontent.com/a/ACg8ocId6g2aZawqX3dCAQXSMuYBgOi6O9SvKc1suBVJJdftF4yRkg=mo,Saya beberapa kali order gocar di daerah kebumen di Alian tidak pernah dapat atau jangkauan tidak masuk di daerah ini?? padal tidak masuk pelosok desa; bis besar juga masih bisa melintas tapi order TDK pernah dapat aneh aplikasi; saya sering posisi urgen order berkali kali makan waktu tidak pernah dapat.. kecewa sekali,1,8,5.16.3,2025-04-08 11:45:16,Mohon maaf atas kendalanya; Kak Ayu. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk; atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali; ya. Jika ada pertanyaan lain; silakan kunjungi menu Bantuan pada aplikasi Gojek-mu; ya. ^Melisa,2025-04-08 15:27:24,5.16.3
c87d4473-5086-4c08-b6b3-f97979340c2d,Khoiruz zad,https://play-lh.googleusercontent.com/a-/ALV-UjWUOUAFFP50GDbMvf5MEEd2mrLYE3AflJFrlMYgkCz5Ywel0FQ,saya biasanya soal makanan lebih sering order lewat online nah saya mencoba order lewat go food tidak pernah mendapatkan penganlaman yang baik; contoh driver selalu cemberut; eksprewi wajah seperti orang yang menantang; yang kedua beberapa kali saya order dengan pembayan tunai pasti mereka tidak punya kembalian padahal mereka tanpa mengecek dompet atau saku nya. karna kembalianya itu lumayan kadang Rp. 2700; Rp.4000; bahkan pernah hampir 7 ribu.,2,82,5.14.2,2025-03-23 13:48:37,Hai Kak Khoiruz; mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya; silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik "Driver kurang sopan" pada kolom pencarian ya. ^Maura,2025-03-23 14:17:52,5.14.2
606f946d-2bab-4c43-9b20-429a679a8fe0,X MIA 3_18_MOCHAMMAD ANDREAS SURYA ARTA WIJAYA,https://play-lh.googleusercontent.com/a/ACg8ocK3ZwrLeC5rWKUsMabb8r6591ezg4y7fmFANfmrDOLoBrF4RA=mo,aplikasi ga jelas; sering banget gofood udh nunggu lama (1 jam lebih) tiba2 ke cancle dengan berbagai alasan; entah yg ga dapat driver lah; restonya tiba2 tutup lah; dan masih banyak berbagai alasan yg tidak bisa di wajar kan. mohon segera diperbaiki😵‍💫,1,45,5.15.1,2025-04-03 15:04:48,Hai Kak Andreas; mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek; silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Melisa,2025-04-04 02:40:35,5.15.1
7580e966-6de2-4132-a2e1-f9daf84aa438,devi christiana,https://play-lh.googleusercontent.com/a/ACg8ocJy989D02T-2-DRXXLcOjuvG3gCA5BoRCjdIwbLZCz63fPluw=mo,pas butuh malah nggak bisa di setting lokasi; udah pake map tinggal ngikut settingan map yang kita pilih malah pake ada kata kata lokasi tidak bisa di setting..gilaaakk maunya apasih suruh setting sendiri malah kagak bisaa lah gmna mo pesen coba???,1,61,5.14.2,2025-03-20 10:22:12,Hai Kak Devi; mohon maaf atas ketidaknyamanannya. Saat ini kami sedang melakukan pemeliharaan sistem untuk memberikan pelayanan yang lebih baik buat Kakak. Kakak bisa refresh dan lakukan pengecekan secara berkala ya. Semoga informasi kami membantu. ^Melisa,2025-03-20 11:58:11,5.14.2
cb8f275d-1318-4a5b-b40a-0c33cb89d08a,Michael Giovanni,https://play-lh.googleusercontent.com/a-/ALV-UjVlciKSJcYtVe2MCG2Co_lBmTT2ylGUOEaTieommvi9XrjwVx8I,Update aplikasinya malah menyusahkan. Pesan dari rumah ke stasiun biasanya dulu bisa pakai goride biasa atau goride confort untuk Gotransit skrg disetting langsung goride hemat. Jelas beda waktu tunggu dan kualitas motor drivernya. Bukan mempermudah malah mempersulit pelanggan.,1,109,5.13.1,2025-03-16 22:25:29,Hai Kak Michael; mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya; silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura,2025-03-17 00:18:53,5.13.1
